variant,station,count,baseline_rmse,variant_rmse,rmse_delta,rmse_delta_pct,baseline_mae,variant_mae,mae_delta,baseline_r2,variant_r2,r2_delta
cross_residual,DE-RuR_GRA_Merged,78817,3.4219017333018265,3.442748370580288,0.0208466372784617,0.6092120377269448,1.725915809215028,1.8202484607006841,0.09433265148565617,0.7963145113269438,0.793825198725636,-0.0024893126013078026
cross_residual,DE-RuS_CRO_Merged,78817,4.877501863572918,5.126939252466162,0.24943738889324418,5.11403984806525,2.465774370661238,2.5710929105888547,0.10531853992761686,0.582963763184658,0.539218272821067,-0.04374549036359099
cross_residual,ES-HeB_ENF_Merged,51951,1.9311561708693281,2.1527962879505536,0.22164011708122544,11.477068526335291,1.0936152015034613,1.2157166974702536,0.12210149596679232,0.6651876547489218,0.5839241180816916,-0.08126353666723019
cross_residual,ES-LM2_SAV_Merged,78817,1.543951238834552,1.4299310333486315,-0.11402020548592051,-7.384961559536583,0.8243180787247064,0.8417776929083932,0.0174596141836868,0.8836550461706073,0.9002045882828231,0.01654954211221582
cross_residual,FR-CLt_GRA_Merged,48819,4.09897955774469,3.3728048965651007,-0.7261746611795896,-17.715986404653847,2.264845462086068,1.9275285918703973,-0.3373168702156706,0.13057763560298674,0.4113437736410056,0.28076613803801886
cross_residual,FR-Mej_GRA_Merged,52021,4.575836366089389,4.464944571875557,-0.1108917942138321,-2.423421323271721,2.297960868123947,2.3014751042290515,0.0035142361051043736,0.6421478560491669,0.6592822208505924,0.017134364801425495
cross_residual,IL-Yat_ENF_Merged,78720,1.9981740913548047,2.15007391542498,0.15189982407017544,7.60193141965844,1.1509583123800595,1.339570307580194,0.18861199520013439,0.49700835140189714,0.4176274344441888,-0.07938091695770833
cross_residual,IT-BsB_DBF_Merged,33271,2.7008813356937833,3.081718656939414,0.38083732124563063,14.10048328346139,1.4352189182808794,1.6923476864908862,0.25712876821000674,0.8857684761664021,0.8512828897116973,-0.034485586454704786
cross_residual,IT-SR2_ENF_Merged,76670,3.6563873439382792,3.728168340061304,0.07178099612302491,1.9631671748898984,1.9838074701557231,2.13030708900281,0.14649961884708707,0.8042008226331965,0.7964376307762209,-0.007763191856975604
cross_residual,KR-ScC_ENF_Merged,26201,3.5758855263122546,3.858063205333438,0.2821776790211832,7.891127301051716,1.668776199124359,1.8036495029942223,0.1348733038698633,0.7831705390666264,0.7475997668198799,-0.03557077224674643
cross_residual,RU-Fy2_ENF_Merged,78119,3.145634080655558,3.076308626074837,-0.06932545458072115,-2.203862649093424,1.4034864164372023,1.4482193458104555,0.04473292937325324,0.7957790681119301,0.8046813754683501,0.008902307356419947
cross_residual,RU-Fyo_ENF_Merged,78815,2.9469995014882047,2.7902834876513856,-0.1567160138368191,-5.317816095919905,1.5170999898724784,1.4347604119988675,-0.0823395778736109,0.7865673405869082,0.808663683415483,0.022096342828574755
cross_residual,US-CMW_DBF_Merged,52394,2.3828267899957245,2.351600884574821,-0.031225905420903644,-1.3104563685453474,1.1547728367455565,1.1969852513537433,0.04221241460818681,0.7818251370160214,0.7875058427094641,0.0056807056934427
cross_residual,US-CRK_ENF_Merged,29331,2.560195734624862,2.451781180813301,-0.10841455381156084,-4.234619734160541,1.4396725924762628,1.424359195183051,-0.015313397293211795,0.8579900574599599,0.8697625672725742,0.01177250981261424
cross_residual,US-MMS_DBF_Merged,70033,2.762605495757367,2.9726418075698664,0.2100363118124995,7.602834068601538,1.223843831846998,1.3605407564309107,0.1366969245839127,0.9083329373276876,0.893864484077061,-0.014468453250626623
cross_residual,US-Mo1_CRO_Merged,78374,6.207412017290343,6.544954268220222,0.33754225092987866,5.437729121084224,2.7824846284519755,2.891993609473623,0.10950898102164741,0.451392948626151,0.3901072472462944,-0.06128570137985656
cross_residual,US-Ne2_CRO_Merged,78817,4.0877486754682435,4.044030120600097,-0.04371855486814624,-1.0695020251737557,1.4264648060668148,1.468905524083927,0.042440718017112244,0.8917684227140362,0.8940711206338432,0.002302697919806973
cross_residual,US-Ro1_CRO_Merged,8690,5.449400585817102,5.178089720944732,-0.2713108648723699,-4.978728588580878,2.0260910673437786,1.9390204374342985,-0.08707062990948011,0.2549883695538673,0.327325868283443,0.07233749872957573
cross_residual,US-SP1_ENF_Merged,42657,2.859937070688465,2.8299885109486618,-0.029948559739803038,-1.0471754797245802,1.5839416642429027,1.6072897110781925,0.023348046835289793,0.8084274231701389,0.812418617872718,0.003991194702579026
cross_residual,US-SRG_GRA_Merged,79185,1.7657757161880487,1.802156816374317,0.03638110018626817,2.0603466143937905,0.8146551913110688,0.9275242838028849,0.11286909249181609,0.6475209453638555,0.632846736474892,-0.014674208888963536
cross_residual,US-SRM_WSA_Merged,87578,1.808537943807914,1.7308842705215757,-0.07765367328633843,-4.293726518274591,0.8720063206912062,0.9548865546480857,0.08288023395687949,0.3802052652352771,0.43228718801533284,0.052081922780055745
cross_residual,US-TKs_CSH_Merged,65822,1.4381420562533234,1.3164822955758064,-0.12165976067751694,-8.45950927785725,0.6637432013137241,0.6922146556012369,0.028471454287512743,0.65435325604194,0.7103597307222531,0.05600647468031317
cross_residual,US-UC1_CVM_Merged,49615,3.4702680584557983,3.345655960573939,-0.12461209788185945,-3.5908493460101583,1.583908734609436,1.5367774395431877,-0.04713129506624836,0.8572602795972268,0.8673273647940111,0.010067085196784231
cross_residual,US-UMd_DBF_Merged,86047,2.7630698289574624,2.84357329096037,0.0805034620029077,2.913551483904501,1.257849665388124,1.3301109242458942,0.07226125885777024,0.8530264788463184,0.8443374178115293,-0.00868906103478917
cross_residual,US-Var_GRA_Merged,87482,2.823437896862569,2.5740219992241915,-0.24941589763837735,-8.83376602387928,1.5156295951514172,1.48878527866061,-0.026844316490807207,0.5331414995260493,0.6119807246974058,0.07883922517135655
cross_residual,US-Wkg_GRA_Merged,87482,1.3586885060430733,1.4355313456984804,0.07684283965540706,5.655662744891946,0.7181660298299202,0.8757441675356938,0.15757813770577367,0.5106356079391678,0.45371670227762584,-0.05691890566154201
cross_residual,US-xAE_GRA_Merged,52507,1.8707143133203348,1.7789569315643303,-0.09175738175600445,-4.904938242181089,0.9280351963717416,0.9341517545764297,0.0061165582046881495,0.7121107298572391,0.7396596955967109,0.027548965739471742
cross_residual,US-xBL_DBF_Merged,44641,2.3787841889264345,2.7821826701025234,0.4033984811760889,16.95817901657342,1.2388175113801287,1.4839419660937607,0.24512445471363198,0.8934249066768337,0.8542136316699411,-0.03921127500689259
cross_residual,US-xCL_GRA_Merged,51701,2.9607158620577754,3.0633433878244656,0.10262752576669021,3.4663078305447854,1.414450520832823,1.5671177169658288,0.15266719613300572,0.8103961669105795,0.7970238473802813,-0.01337231953029816
cross_residual,US-xJR_OSH_Merged,47530,0.9165592440413843,0.9217054984774518,0.005146254436067421,0.5614753731985772,0.3997319977533785,0.4732112609033406,0.07347926314996212,0.3742844214730825,0.36723821774258014,-0.007046203730502354
cross_residual,US-xUN_MF_Merged,52507,2.4790339713543346,2.6808472249188138,0.2018132535644792,8.140802259931336,1.2246469821695996,1.3936067234934697,0.16895974132387015,0.8604566232493792,0.8368119314168879,-0.023644691832491294
lag_only,AU-MvB_CRO_Merged,8445,6.632921017481688,7.462170805899075,0.8292497884173873,12.502030195019982,3.6186328639780863,3.9908460525452845,0.3722131885671982,0.6399660375334218,0.5443155699737956,-0.09565046755962625
lag_only,AU-Sil_GRA_Merged,44625,3.7818969234305806,2.212870698535763,-1.5690262248948175,-41.48781039414329,2.076596716279743,1.2380594800126319,-0.8385372362671111,0.42250899582167534,0.8022857716779339,0.3797767758562586
lag_only,AU-Sno_EBF_Merged,13419,2.4331816530924,1.9088058438428375,-0.5243758092495625,-21.551034160689085,1.4119084135272018,1.0420426441132644,-0.36986576941393734,0.8690141378108002,0.9193881535879435,0.05037401577714329
