variant,station,baseline_rmse,candidate_rmse,rmse_delta,rmse_delta_percent,outcome
huber_delta1,US-SRG_GRA_Merged,1.765775723781965,1.9724160455101973,0.20664032172823243,11.702523652644125,loss
huber_delta1,US-SRM_WSA_Merged,1.8085379464595919,1.6927056796635136,-0.11583226679607828,-6.404746277114751,win
huber_delta1,US-TKs_CSH_Merged,1.4381420250665329,1.3586211535041455,-0.07952087156238741,-5.529417135189309,win
huber_delta1,US-UC1_CVM_Merged,3.4702680481739776,3.6135478433972676,0.14327979522329004,4.1287817895992935,loss
huber_delta1,US-UMd_DBF_Merged,2.7630698238063176,2.650757226540341,-0.11231259726597642,-4.064775935023536,win
huber_delta1,US-Var_GRA_Merged,2.8234378995956324,2.5753789249215964,-0.24805897467403604,-8.78570676938078,win
huber_delta1,US-Wkg_GRA_Merged,1.3586885071066968,1.4488800943157694,0.09019158720907261,6.6381357270132515,loss
huber_delta1,US-xAE_GRA_Merged,1.8707143042536187,1.9123145602148743,0.041600255961255606,2.223763183221789,loss
huber_delta1,US-xBL_DBF_Merged,2.378784200666848,2.5504915586869994,0.17170735802015136,7.218282262511091,loss
huber_delta1,US-xCL_GRA_Merged,2.9607158751056675,3.520946968845138,0.5602310937394703,18.922149823629255,loss
huber_delta1,US-xJR_OSH_Merged,0.9165592449327067,0.9430284503034572,0.02646920537075048,2.8878881007516144,loss
huber_delta1,US-xUN_MF_Merged,2.4790339662831125,2.3418727432622277,-0.13716122302088474,-5.532849686062775,win
adamw_weight_decay,AU-MvB_CRO_Merged,6.632921000735733,6.650557383986415,0.017636383250682286,0.26589165239154866,loss
adamw_weight_decay,AU-Sil_GRA_Merged,3.7818969144743866,2.8227958639948243,-0.9591010504795623,-25.36031711517075,win
adamw_weight_decay,AU-Sno_EBF_Merged,2.4331816526862817,2.8792490655402543,0.44606741285397256,18.332680273234228,loss
adamw_weight_decay,CA-TP3_ENF_Merged,2.8155723589413877,2.4892064289815066,-0.3263659299598811,-11.591459509944533,win
adamw_weight_decay,CA-TP4_ENF_Merged,2.9251529042662403,2.4718582280378714,-0.45329467622836894,-15.496443812125287,win
adamw_weight_decay,CH-Crs_GRA_Merged,3.6007448521425434,3.5272408299589895,-0.0735040221835539,-2.041356030539541,win
adamw_weight_decay,CH-Fru_GRA_Merged,3.6304910547258857,3.581368739202744,-0.049122315523141946,-1.3530487965036686,win
adamw_weight_decay,CN-Yuc_CRO_Merged,3.6558525925268204,3.7073663311008342,0.05151373857401387,1.4090759206023964,loss
adamw_weight_decay,CZ-KrP_CRO_Merged,3.9425876544000036,4.085810169705017,0.14322251530501307,3.632703388222047,loss
adamw_weight_decay,DE-Amv_WET_Merged,4.049656920184496,4.1023070752687785,0.05265015508428217,1.3001139632807093,loss
adamw_weight_decay,DE-Har_ENF_Merged,2.5248348781400183,2.437797096280367,-0.08703778185965128,-3.447266299005256,win
adamw_weight_decay,DE-RuM_CRO_Merged,4.911591817606319,4.9434831323657615,0.0318913147594424,0.6493071074254038,loss
adamw_weight_decay,DE-RuR_GRA_Merged,3.421901756046453,3.629574907292117,0.20767315124566377,6.068939614607817,loss
adamw_weight_decay,DE-RuS_CRO_Merged,4.877501854900731,5.0685432614979495,0.19104140659721836,3.9167879845143903,loss
adamw_weight_decay,ES-HeB_ENF_Merged,1.9311561437161824,2.157179733757459,0.2260235900412766,11.704055665138116,loss
adamw_weight_decay,ES-LM2_SAV_Merged,1.5439512517632008,1.584281214602032,0.04032996283883117,2.612126697185169,loss
adamw_weight_decay,FR-CLt_GRA_Merged,4.098979543379275,2.995035799754164,-1.103943743625111,-26.932160357038505,win
adamw_weight_decay,FR-Mej_GRA_Merged,4.57583638948323,4.597384349633727,0.02154796015049687,0.4709075744058755,loss
adamw_weight_decay,IL-Yat_ENF_Merged,1.9981740888034087,1.9315994632729325,-0.06657462553047622,-3.3317730373705285,win
adamw_weight_decay,IT-BsB_DBF_Merged,2.700881345124452,2.9728909929958296,0.2720096478713776,10.071143938344461,loss
adamw_weight_decay,IT-SR2_ENF_Merged,3.6563873842556567,3.976579719206975,0.32019233495131827,8.757068146828784,loss
adamw_weight_decay,KR-ScC_ENF_Merged,3.5758855484089986,3.304233134048812,-0.2716524143601866,-7.5967871645403084,win
adamw_weight_decay,RU-Fy2_ENF_Merged,3.1456341068885294,2.9918103893019126,-0.15382371758661684,-4.8900702484679615,win
adamw_weight_decay,RU-Fyo_ENF_Merged,2.9469995359303716,2.986899787473295,0.03990025154292365,1.3539279886695703,loss
adamw_weight_decay,US-CMW_DBF_Merged,2.382826821757898,2.2767796995557843,-0.10604712220211354,-4.450475428335103,win
adamw_weight_decay,US-CRK_ENF_Merged,2.5601957364932093,2.884073760456021,0.32387802396281185,12.650518057905957,loss
adamw_weight_decay,US-MMS_DBF_Merged,2.7626054892362983,2.5256123384175972,-0.2369931508187011,-8.578610002118547,win
adamw_weight_decay,US-Mo1_CRO_Merged,6.207412030197039,6.2019534798433416,-0.005458550353697689,-0.08793600822925267,win
adamw_weight_decay,US-Ne2_CRO_Merged,4.087748668952957,3.9205095802507897,-0.16723908870216775,-4.091227280492385,win
adamw_weight_decay,US-Ro1_CRO_Merged,5.4494005935218714,5.021389827353117,-0.42801076616875466,-7.854272388738765,win
adamw_weight_decay,US-SP1_ENF_Merged,2.8599370910779878,3.650002428721671,0.790065337643683,27.625269804304892,loss
adamw_weight_decay,US-SRG_GRA_Merged,1.765775723781965,1.6842467577997988,-0.08152896598216608,-4.617175606398423,win
adamw_weight_decay,US-SRM_WSA_Merged,1.8085379464595919,1.605325715594116,-0.2032122308654758,-11.236271335267565,win
adamw_weight_decay,US-TKs_CSH_Merged,1.4381420250665329,1.5928758351983447,0.15473381013181187,10.75928576140826,loss
adamw_weight_decay,US-UC1_CVM_Merged,3.4702680481739776,3.7661827505402643,0.2959147023662867,8.527142522088294,loss
adamw_weight_decay,US-UMd_DBF_Merged,2.7630698238063176,2.606891027500882,-0.15617879630543552,-5.652365168618451,win
adamw_weight_decay,US-Var_GRA_Merged,2.8234378995956324,2.342243129750793,-0.48119476984483933,-17.042867134203842,win
adamw_weight_decay,US-Wkg_GRA_Merged,1.3586885071066968,1.2178644599234492,-0.1408240471832476,-10.364704378277985,win
adamw_weight_decay,US-xAE_GRA_Merged,1.8707143042536187,1.7446692530352048,-0.12604505121841392,-6.737803358418411,win
adamw_weight_decay,US-xBL_DBF_Merged,2.378784200666848,2.347697958374059,-0.031086242292789112,-1.3068122061713148,win
adamw_weight_decay,US-xCL_GRA_Merged,2.9607158751056675,3.0151602350845743,0.05444435997890684,1.838891750359657,loss
