variant,station,control_rmse,candidate_rmse,rmse_delta,rmse_delta_pct,outcome
bidirectional_cross_attention,US-Ro1_CRO_Merged,4.925120648107722,5.942681148632391,1.0175605005246693,20.660620789373468,loss
bidirectional_cross_attention,US-SP1_ENF_Merged,3.0441867160293037,3.167834409396915,0.12364769336761139,4.0617644350308355,loss
bidirectional_cross_attention,US-SRG_GRA_Merged,1.9010046048695197,1.905147384807974,0.004142779938454355,0.21792582342212186,loss
bidirectional_cross_attention,US-SRM_WSA_Merged,1.6265273015517543,1.8807711210430038,0.2542438194912495,15.631082198785936,loss
bidirectional_cross_attention,US-TKs_CSH_Merged,1.3708988797332535,1.606428113291189,0.23552923355793554,17.180642353706226,loss
bidirectional_cross_attention,US-UC1_CVM_Merged,3.4319509917109388,3.1904997882224824,-0.2414512034884564,-7.035391940957908,win
bidirectional_cross_attention,US-UMd_DBF_Merged,2.660874283223561,2.704364371912552,0.04349008868899107,1.63442853964165,loss
bidirectional_cross_attention,US-Var_GRA_Merged,2.4498269796200827,2.257215454151524,-0.19261152546855875,-7.862250153618147,win
bidirectional_cross_attention,US-Wkg_GRA_Merged,1.5546375602373792,1.475095999240555,-0.07954156099682419,-5.116405458818254,win
bidirectional_cross_attention,US-xAE_GRA_Merged,1.79486439366455,1.9977457866222248,0.2028813929576747,11.303438503421116,loss
bidirectional_cross_attention,US-xBL_DBF_Merged,2.3337217682526146,2.431820314249084,0.09809854599646961,4.203523630407808,loss
bidirectional_cross_attention,US-xCL_GRA_Merged,2.805385551256506,3.116735046851709,0.311349495595203,11.098278290331695,loss
bidirectional_cross_attention,US-xJR_OSH_Merged,0.8865426402595284,0.8896461893133342,0.003103549053805721,0.3500732974216763,loss
bidirectional_cross_attention,US-xUN_MF_Merged,2.1857643358817946,2.394525245000726,0.20876090911893153,9.55093400015203,loss
gpp_query_pooling,AU-MvB_CRO_Merged,7.052747167782821,7.650264991165513,0.5975178233826925,8.472128791347767,loss
gpp_query_pooling,AU-Sil_GRA_Merged,2.9607636898316527,3.4608793439585925,0.5001156541269398,16.89144107800701,loss
gpp_query_pooling,AU-Sno_EBF_Merged,2.292743440591289,1.826042175166145,-0.4667012654251439,-20.355581752521932,win
gpp_query_pooling,CA-TP3_ENF_Merged,2.5109557828710174,2.5438929486564916,0.03293716578547423,1.311738183928273,loss
gpp_query_pooling,CA-TP4_ENF_Merged,2.5611972409931987,2.5542940423944382,-0.006903198598760429,-0.26953014349193427,win
gpp_query_pooling,CH-Crs_GRA_Merged,3.6183122017574068,3.388443957671962,-0.22986824408544493,-6.35291349303132,win
gpp_query_pooling,CH-Fru_GRA_Merged,3.742116789132603,3.689859572782466,-0.052257216350136915,-1.3964613959108898,win
gpp_query_pooling,CN-Yuc_CRO_Merged,3.711720199342265,5.175109237667095,1.4633890383248298,39.42616791492391,loss
gpp_query_pooling,CZ-KrP_CRO_Merged,4.157722896121677,3.995657985018848,-0.16206491110282917,-3.8979247812306896,win
